10	-0.601	0.014	-0.224	0.048	0.183	0.025	0.186	-0.075	0.094	-1.506	-0.12	-0.425	-0.36	0.092	-0.542	0.616	-0.126	0.171
11	-0.516	0.062	-0.181	0.124	-0.953	-0.139	0.232	-0.46	0.022	-5.695	-0.171	-1.602	-0.17	-1.017	-0.274	0.72	-0.276	-0.545
15	-0.964	-1.528	-0.71	-1.941	-1.738	-1.526	-1.434	-1.306	-1.207	-2.507	-1.238	-2.015	-1.764	-1.963	-1.723	-1.223	-1.695	-1.306
19	0.407	0.556	0.214	0.681	0.509	0.742	0.264	-0.274	0.345	-0.899	0.448	0.331	0.609	0.278	0.032	0.598	-0.05	0.66
22	-0.502	-1.196	-0.322	-0.711	-0.514	-1.113	-1.511	-1.338	-1.039	-1.382	-1.34	-1.674	-1.145	-0.649	-1.843	-1.525	-1.645	-1.656
23	3.683	1.015	1.899	0.648	1.299	1.763	1.518	0.871	2.902	1.567	1.409	3.57	0.824	0.861	1.428	1.534	1.014	2.716
24	-0.506	-0.459	-0.3	0.839	-0.757	-0.594	0.119	-0.569	0.022	-0.372	-0.071	-1.533	-0.031	-0.688	-1.156	-0.535	-0.775	-0.171
26	-0.346	-0.727	-0.239	-0.899	-0.511	-0.851	-0.627	-0.65	-0.658	-1.915	-0.733	-1.304	-0.632	-0.566	-1.294	-0.099	-1.338	-1.678
29	0.166	-0.23	-0.084	-0.157	-0.084	0.001	0.61	0.169	0.879	0.35	0.242	-0.72	0.511	0.009	-0.321	1.425	0.208	0.452
35	0.198	0.1	-0.061	-1.211	0.068	-0.887	-0.186	-0.796	-0.48	-0.421	-0.632	-0.326	-0.766	-0.07	-1.012	0.566	-0.671	-0.66
36	0.523	-0.722	0.393	0.442	0.282	0.508	0.277	0.256	0.571	0.455	-0.561	0.301	0.692	0.236	-0.009	0.916	-0.102	0.617
37	0.272	0.045	0.809	0.738	0.865	-0.308	-0.136	0.099	-0.238	-1.566	0.044	0.059	0.569	0.714	-0.403	0.419	-0.196	-0.078
38	0.953	0.622	0.266	0.965	2.01	0.448	0.582	0.58	0.504	-5.825	0.616	0.276	2	1.75	-0.558	1.012	0.213	0.386
41	0.728	-0.757	0.217	0.832	0.674	0.529	0.114	0.787	0.508	0.533	2.014	-1.048	0.537	0.38	-0.27	0.29	0.048	0.134
45	0.374	0.186	0.641	1.939	1.492	0.51	0.717	0.378	-0.24	0.038	0.368	-0.345	0.571	1.251	-0.324	1.3	-0.085	-0.011
53	-0.73	-0.783	-0.363	-0.856	-0.55	-0.917	-0.368	-0.978	-0.192	-2.492	-0.528	-1.177	-0.805	-0.442	-1.513	0.149	-1.036	-0.82
54	0.182	-0.372	0.527	0.309	1.614	-0.188	0.215	0.232	-0.24	-0.342	-0.058	0.308	0.768	1.689	-0.466	0.599	-0.127	-0.473
